2015-09-16 21:36:37;information for maps recorded;101038712
2015-09-16 21:45:48;wrong command sent;101038712
2015-09-16 21:48:47;wrong command sent;101038712
2015-09-16 21:55:25;wrong command sent;101038712
2015-09-16 21:57:50;wrong command sent;101038712
2015-09-16 22:16:01;information for maps recorded;101038712
2015-09-16 22:21:49;information for maps recorded;101038712
2015-09-16 22:28:35;information for maps recorded;101038712
2015-09-16 22:30:31;wrong command sent;101038712
2015-09-16 22:36:44;information for maps recorded;101038712
2015-09-16 22:37:28;information for maps recorded;101038712
2015-09-16 22:43:40;information for maps recorded;101038712
2015-09-16 22:45:34;information for maps recorded;101038712
2015-09-16 22:47:16;information for maps recorded;101038712
2015-09-16 23:00:47;information for maps recorded;101038712
2015-09-16 23:05:00;information for maps recorded;101038712
2015-09-16 23:11:37;information for maps recorded;101038712
2015-09-16 23:13:26;information for maps recorded;101038712
2015-09-17 00:49:17;meteo sent;101038712
2015-09-17 00:49:44;information for maps recorded;101038712
2015-09-17 00:51:49;information for maps recorded;101038712
2015-09-17 00:55:04;information for maps recorded;101038712
2015-09-17 00:55:23;information for maps recorded;101038712
2015-09-17 00:56:42;information for maps recorded;101038712
2015-09-17 00:57:17;information for maps recorded;101038712
2015-09-17 01:00:58;information for maps recorded;101038712
2015-09-17 01:01:43;information for maps recorded;101038712
2015-09-17 01:06:37;information for maps recorded;101038712
2015-09-17 01:08:07;information for maps recorded;101038712
2015-09-17 01:09:00;information for maps recorded;101038712
2015-09-17 01:30:32;information for maps recorded;101038712
2015-09-17 01:34:29;information for maps recorded;101038712
2015-09-17 01:37:27;information for maps recorded;101038712
2015-09-17 01:38:48;information for maps recorded;101038712
2015-09-17 01:42:20;information for maps recorded;101038712
